datetime,year,month,day,hour,minute,chamber,rs,rsgf,tsoil,tsoilgf
2023-10-02T10:40:00,2023,10,2,10,40,3,1.393195984,1.393195984,14.83166667,14.83166667
2023-10-02T10:45:00,2023,10,2,10,45,4,NA,0.374804105,14.84366667,14.84366667
2023-10-02T10:50:00,2023,10,2,10,50,5,0.616570284,0.616570284,14.85666667,14.85666667
2023-10-02T10:55:00,2023,10,2,10,55,6,0.798211761,0.798211761,14.874,14.874
2023-10-02T11:00:00,2023,10,2,11,0,1,1.397569804,1.397569804,14.89466667,14.89466667
2023-10-02T11:05:00,2023,10,2,11,5,2,NA,0.516165244,14.914,14.914
2023-10-02T11:10:00,2023,10,2,11,10,3,0.925856254,0.925856254,14.92966667,14.92966667
2023-10-02T11:15:00,2023,10,2,11,15,4,0.325606019,0.325606019,14.948,14.948
2023-10-02T11:20:00,2023,10,2,11,20,5,0.806846647,0.806846647,14.96266667,14.96266667
2023-10-02T11:25:00,2023,10,2,11,25,6,0.780062443,0.780062443,14.97833333,14.97833333
2023-10-02T11:30:00,2023,10,2,11,30,1,0.823642031,0.823642031,14.99166667,14.99166667
2023-10-02T11:35:00,2023,10,2,11,35,2,0.486236923,0.486236923,15.00433333,15.00433333
2023-10-02T11:40:00,2023,10,2,11,40,3,1.158999591,1.158999591,15.015,15.015
2023-10-02T11:45:00,2023,10,2,11,45,4,0.287455992,0.287455992,15.02866667,15.02866667
2023-10-02T11:50:00,2023,10,2,11,50,5,0.759691462,0.759691462,15.04433333,15.04433333
2023-10-02T11:55:00,2023,10,2,11,55,6,0.627439586,0.627439586,15.056,15.056
2023-10-02T12:00:00,2023,10,2,12,0,1,0.761301745,0.761301745,15.07166667,15.07166667
2023-10-02T12:05:00,2023,10,2,12,5,2,0.656997198,0.656997198,15.084,15.084
2023-10-02T12:10:00,2023,10,2,12,10,3,0.891201323,0.891201323,15.09766667,15.09766667
2023-10-02T12:15:00,2023,10,2,12,15,4,0.39888194,0.39888194,15.11266667,15.11266667
2023-10-02T12:20:00,2023,10,2,12,20,5,0.789869364,0.789869364,15.12733333,15.12733333
2023-10-02T12:25:00,2023,10,2,12,25,6,0.763042679,0.763042679,15.14166667,15.14166667
2023-10-02T12:30:00,2023,10,2,12,30,1,0.673497043,0.673497043,15.15666667,15.15666667
2023-10-02T12:35:00,2023,10,2,12,35,2,0.503124323,0.503124323,15.172,15.172
2023-10-02T12:40:00,2023,10,2,12,40,3,0.981747037,0.981747037,15.188,15.188
2023-10-02T12:45:00,2023,10,2,12,45,4,0.570523147,0.570523147,15.20333333,15.20333333
2023-10-02T12:50:00,2023,10,2,12,50,5,0.682447918,0.682447918,15.22033333,15.22033333
2023-10-02T12:55:00,2023,10,2,12,55,6,0.900802483,0.900802483,15.23333333,15.23333333
