datetime,chamber,CO2_ppm,half_hour,year,month,day,hour,minute,second
2023-10-02T11:00:00Z,1,580.0188,2023-10-02T11:00:00Z,2023,10,2,11,0,0
2023-10-02T11:00:01Z,1,582.5283,2023-10-02T11:00:00Z,2023,10,2,11,0,1
2023-10-02T11:00:02Z,1,579.7759,2023-10-02T11:00:00Z,2023,10,2,11,0,2
2023-10-02T11:00:03Z,1,545.3706,2023-10-02T11:00:00Z,2023,10,2,11,0,3
2023-10-02T11:00:04Z,1,388.6443,2023-10-02T11:00:00Z,2023,10,2,11,0,4
2023-10-02T11:00:05Z,1,414.9542,2023-10-02T11:00:00Z,2023,10,2,11,0,5
2023-10-02T11:00:06Z,1,422.8877,2023-10-02T11:00:00Z,2023,10,2,11,0,6
2023-10-02T11:00:07Z,1,422.9686,2023-10-02T11:00:00Z,2023,10,2,11,0,7
2023-10-02T11:00:08Z,1,424.4258,2023-10-02T11:00:00Z,2023,10,2,11,0,8
2023-10-02T11:00:09Z,1,426.0449,2023-10-02T11:00:00Z,2023,10,2,11,0,9
2023-10-02T11:00:10Z,1,432.4402,2023-10-02T11:00:00Z,2023,10,2,11,0,10
2023-10-02T11:00:11Z,1,448.3881,2023-10-02T11:00:00Z,2023,10,2,11,0,11
2023-10-02T11:00:12Z,1,458.5882,2023-10-02T11:00:00Z,2023,10,2,11,0,12
2023-10-02T11:00:13Z,1,496.4746,2023-10-02T11:00:00Z,2023,10,2,11,0,13
2023-10-02T11:00:14Z,1,496.7984,2023-10-02T11:00:00Z,2023,10,2,11,0,14
2023-10-02T11:00:15Z,1,405.9684,2023-10-02T11:00:00Z,2023,10,2,11,0,15
2023-10-02T11:00:16Z,1,404.5112,2023-10-02T11:00:00Z,2023,10,2,11,0,16
2023-10-02T11:00:17Z,1,413.3352,2023-10-02T11:00:00Z,2023,10,2,11,0,17
2023-10-02T11:00:18Z,1,416.3304,2023-10-02T11:00:00Z,2023,10,2,11,0,18
2023-10-02T11:00:19Z,1,417.3019,2023-10-02T11:00:00Z,2023,10,2,11,0,19
2023-10-02T11:00:20Z,1,417.2209,2023-10-02T11:00:00Z,2023,10,2,11,0,20
2023-10-02T11:00:21Z,1,416.8971,2023-10-02T11:00:00Z,2023,10,2,11,0,21
2023-10-02T11:00:22Z,1,416.0876,2023-10-02T11:00:00Z,2023,10,2,11,0,22
2023-10-02T11:00:23Z,1,414.8733,2023-10-02T11:00:00Z,2023,10,2,11,0,23
2023-10-02T11:00:24Z,1,414.7923,2023-10-02T11:00:00Z,2023,10,2,11,0,24
2023-10-02T11:00:25Z,1,412.2018,2023-10-02T11:00:00Z,2023,10,2,11,0,25
2023-10-02T11:00:26Z,1,414.4685,2023-10-02T11:00:00Z,2023,10,2,11,0,26
2023-10-02T11:00:27Z,1,413.8209,2023-10-02T11:00:00Z,2023,10,2,11,0,27
2023-10-02T11:00:28Z,1,413.8209,2023-10-02T11:00:00Z,2023,10,2,11,0,28
2023-10-02T11:00:29Z,1,414.7897,2023-10-02T11:00:00Z,2023,10,2,11,0,29
2023-10-02T11:00:30Z,1,415.4373,2023-10-02T11:00:00Z,2023,10,2,11,0,30
2023-10-02T11:00:31Z,1,418.3516,2023-10-02T11:00:00Z,2023,10,2,11,0,31
2023-10-02T11:00:32Z,1,417.0563,2023-10-02T11:00:00Z,2023,10,2,11,0,32
2023-10-02T11:00:33Z,1,417.2992,2023-10-02T11:00:00Z,2023,10,2,11,0,33
2023-10-02T11:00:34Z,1,417.2992,2023-10-02T11:00:00Z,2023,10,2,11,0,34
2023-10-02T11:00:35Z,1,417.0563,2023-10-02T11:00:00Z,2023,10,2,11,0,35
2023-10-02T11:00:36Z,1,418.0278,2023-10-02T11:00:00Z,2023,10,2,11,0,36
2023-10-02T11:00:37Z,1,417.2992,2023-10-02T11:00:00Z,2023,10,2,11,0,37
2023-10-02T11:00:38Z,1,417.2182,2023-10-02T11:00:00Z,2023,10,2,11,0,38
2023-10-02T11:00:39Z,1,417.2992,2023-10-02T11:00:00Z,2023,10,2,11,0,39
